amod(accounts-2, descriptive-1)
det(algorithm-11, any-10)
pobj(of-9, algorithm-11)

prep(used-10, in-1)
pobj(in-1, contrast-2)
det(notion-4, the-3)
nsubjpass(used-10, notion-4)
prep(notion-4, of-5)
amod(stability-7, algorithmic-6)
pobj(of-5, stability-7)
aux(used-10, can-8)
auxpass(used-10, be-9)
root(ROOT-0, used-10)
aux(derive-12, to-11)
xcomp(used-10, derive-12)
dobj(derive-12, bounds-13)
nsubjpass(tailored-16, that-14)
auxpass(tailored-16, are-15)
rcmod(bounds-13, tailored-16)
prep(tailored-16, to-17)
pobj(to-17, specific-18)
dep(specific-18, learning-19)
dobj(learning-19, algorithms-20)
cc(learning-19, and-21)
conj(learning-19, exploit-22)
poss(properties-25, their-23)
amod(properties-25, particular-24)
dobj(exploit-22, properties-25)

det(algorithm-3, a-1)
nn(algorithm-3, learning-2)
nsubj(stable-5, algorithm-3)
cop(stable-5, is-4)
root(ROOT-0, stable-5)
mark(set-25, if-6)
det(hypothesis-8, the-7)
nsubj(set-25, hypothesis-8)
nsubj(outputs-10, it-9)
rcmod(hypothesis-8, outputs-10)
dep(outputs-10, varies-11)
prep(varies-11, in-12)
det(way-15, a-13)
amod(way-15, limited-14)
pobj(in-12, way-15)
prep(way-15, in-16)
pobj(in-16, response-17)
prep(response-17, to-18)
amod(changes-20, small-19)
pobj(to-18, changes-20)
partmod(changes-20, made-21)
prep(made-21, to-22)
det(training-24, the-23)
pobj(to-22, training-24)
advcl(stable-5, set-25)

amod(stability-2, algorithmic-1)
nsubjpass(used-5, stability-2)
aux(used-5, has-3)
auxpass(used-5, been-4)
root(ROOT-0, used-5)
advmod(used-5, effectively-6)
prep(used-5, in-7)
det(past-9, the-8)
pobj(in-7, past-9)
aux(derive-11, to-10)
xcomp(used-5, derive-11)
amod(CITATION-15, tight-12)
nn(CITATION-15, generalization-13)
nn(CITATION-15, bounds-14)
dobj(derive-11, CITATION-15)

root(ROOT-0, but-1)
prep(but-1, as-2)
pcomp(as-2, in-3)
pobj(in-3, much-4)
prep(much-4, of-5)
pcomp(of-5, learning-6)
dobj(learning-6, theory-7)
amod(analyses-10, existing-8)
nn(analyses-10, stability-9)
nsubj(apply-13, analyses-10)
cc(analyses-10, and-11)
conj(analyses-10, bounds-12)
rcmod(theory-7, apply-13)
advmod(in-15, only-14)
prep(apply-13, in-15)
det(scenario-17, the-16)
pobj(in-15, scenario-17)
advmod(independently-22, where-18)
det(samples-20, the-19)
nsubj(independently-22, samples-20)
cop(independently-22, are-21)
advmod(distributed-29, independently-22)
cc(independently-22, and-23)
advmod(distributed-25, identically-24)
conj(independently-22, distributed-25)
amod(distributed-29, independent-26)
cc(independent-26, and-27)
conj(independent-26, identically-28)
partmod(scenario-17, distributed-29)

prep(hold-11, in-1)
amod(machine-3, many-2)
pobj(in-1, machine-3)
partmod(machine-3, learning-4)
dobj(learning-4, applications-5)
det(assumption-7, this-6)
dobj(learning-4, assumption-7)
advmod(learning-4, however-8)
aux(hold-11, does-9)
neg(hold-11, not-10)
root(ROOT-0, hold-11)
prep(hold-11, in-12)
pobj(in-12, fact-13)
det(assumption-19, the-14)
amod(assumption-19, independent-15)
cc(independent-15, and-16)
conj(independent-15, identically-17)
amod(assumption-19, distributed-18)
nsubjpass(tested-22, assumption-19)
auxpass(tested-22, is-20)
neg(tested-22, not-21)
ccomp(hold-11, tested-22)
cc(tested-22, or-23)
conj(tested-22, derived-24)
prep(derived-24, from-25)
det(analysis-28, any-26)
nn(analysis-28, data-27)
pobj(from-25, analysis-28)

det(observations-2, the-1)
nsubj(have-9, observations-2)
partmod(observations-2, received-3)
prep(received-3, by-4)
det(algorithm-7, the-5)
nn(algorithm-7, learning-6)
pobj(by-4, algorithm-7)
advmod(have-9, often-8)
root(ROOT-0, have-9)
det(dependence-13, some-10)
amod(dependence-13, inherent-11)
amod(dependence-13, temporal-12)
dobj(have-9, dependence-13)

nsubj(clear-3, this-1)
cop(clear-3, is-2)
root(ROOT-0, clear-3)
prep(clear-3, in-4)
nn(diagnosis-6, system-5)
pobj(in-4, diagnosis-6)
cc(diagnosis-6, or-7)
nn(problems-11, time-8)
nn(problems-11, series-9)
nn(problems-11, prediction-10)
conj(diagnosis-6, problems-11)

advmod(prices-2, clearly-1)
nsubj(dependent-20, prices-2)
prep(prices-2, of-3)
amod(stocks-5, different-4)
pobj(of-3, stocks-5)
prep(prices-2, on-6)
det(day-9, the-7)
amod(day-9, same-8)
pobj(on-6, day-9)
cc(on-6, or-10)
conj(on-6, of-11)
det(stock-14, the-12)
amod(stock-14, same-13)
pobj(of-11, stock-14)
pcomp(on-6, on-15)
amod(days-17, different-16)
pobj(on-15, days-17)
aux(dependent-20, may-18)
cop(dependent-20, be-19)
root(ROOT-0, dependent-20)

root(ROOT-0, but-1)
det(time-5, a-2)
advmod(time-5, less-3)
amod(time-5, apparent-4)
dep(but-1, time-5)
nsubj(affect-8, dependency-6)
aux(affect-8, may-7)
rcmod(time-5, affect-8)
dobj(affect-8, data-9)
partmod(data-9, sampled-10)
prep(sampled-10, in-11)
amod(tasks-14, many-12)
amod(tasks-14, other-13)
pobj(in-11, tasks-14)
advmod(well-16, as-15)
advmod(sampled-10, well-16)

advmod(differs-4, however-1)
poss(analysis-3, our-2)
nsubj(differs-4, analysis-3)
root(ROOT-0, differs-4)
prep(differs-4, from-5)
amod(uses-7, previous-6)
pobj(from-5, uses-7)
prep(uses-7, of-8)
det(technique-10, this-9)
pobj(of-8, technique-10)
prep(differs-4, in-11)
pobj(in-11, that-12)
det(blocks-14, the-13)
dep(that-12, blocks-14)
prep(blocks-14, of-15)
pobj(of-15, points-16)
partmod(points-16, considered-17)
dep(blocks-14, are-18)
neg(of-20, not-19)
prep(are-18, of-20)
amod(size-22, equal-21)
pobj(of-20, size-22)

nsubjpass(used-11, algorithms-1)
mwe(as-3, such-2)
prep(algorithms-1, as-3)
nn(CITATION-8, support-4)
nn(CITATION-8, vector-5)
nn(CITATION-8, regression-6)
nn(CITATION-8, svr-7)
pobj(as-3, CITATION-8)
aux(used-11, have-9)
auxpass(used-11, been-10)
root(ROOT-0, used-11)
prep(used-11, in-12)
det(context-14, the-13)
pobj(in-12, context-14)
prep(context-14, of-15)
nn(prediction-18, time-16)
nn(prediction-18, series-17)
pobj(of-15, prediction-18)
prep(hold-29, in-19)
pobj(in-19, which-20)
det(assumption-26, the-21)
amod(assumption-26, independent-22)
cc(independent-22, and-23)
conj(independent-22, identically-24)
amod(assumption-26, distributed-25)
nsubj(hold-29, assumption-26)
aux(hold-29, does-27)
neg(hold-29, not-28)
rcmod(prediction-18, hold-29)
dobj(hold-29, some-30)
mark(CITATION-35, with-31)
amod(results-34, good-32)
amod(results-34, experimental-33)
nsubj(CITATION-35, results-34)
advcl(hold-29, CITATION-35)

prep(supported-20, to-1)
poss(knowledge-3, our-2)
pobj(to-1, knowledge-3)
det(use-5, the-4)
nsubjpass(supported-20, use-5)
prep(use-5, of-6)
det(algorithms-8, these-7)
pobj(of-6, algorithms-8)
prep(use-5, in-9)
amod(scenarios-15, non-10)
amod(scenarios-15, independent-11)
cc(independent-11, and-12)
conj(independent-11, identically-13)
amod(scenarios-15, distributed-14)
pobj(in-9, scenarios-15)
aux(supported-20, has-16)
neg(supported-20, not-17)
auxpass(supported-20, been-18)
advmod(supported-20, previously-19)
root(ROOT-0, supported-20)
prep(supported-20, by-21)
det(analysis-24, any-22)
amod(analysis-24, theoretical-23)
pobj(by-21, analysis-24)

det(stability-2, the-1)
nsubj(bounds-3, stability-2)
root(ROOT-0, bounds-3)
nsubj(give-5, we-4)
ccomp(bounds-3, give-5)
prep(give-5, for-6)
nn(svms-8, svr-7)
pobj(for-6, svms-8)
cc(svms-8, and-9)
amod(regularization-13, many-10)
amod(regularization-13, other-11)
nn(regularization-13, kernel-12)
conj(svms-8, regularization-13)
partmod(svms-8, based-14)
cc(based-14, and-15)
amod(entropy-17, relative-16)
conj(based-14, entropy-17)
prep(based-14, based-18)
nn(algorithms-20, regularization-19)
nsubjpass(viewed-24, algorithms-20)
aux(viewed-24, can-21)
advmod(viewed-24, thus-22)
auxpass(viewed-24, be-23)
pcomp(based-18, viewed-24)
prep(viewed-24, as-25)
det(basis-29, the-26)
amod(basis-29, first-27)
amod(basis-29, theoretical-28)
pobj(as-25, basis-29)
prep(basis-29, for-30)
poss(use-32, their-31)
pobj(for-30, use-32)
prep(use-32, in-33)
amod(scenarios-35, such-34)
pobj(in-33, scenarios-35)

advmod(available-5, Currently-1)
punct(available-5, ,-2)
det(methods-4, the-3)
nsubj(available-5, methods-4)
dep(limited-18, available-5)
prep(available-5, for-6)
pcomp(for-6, expanding-7)
det(list-9, the-8)
dobj(expanding-7, list-9)
prep(list-9, of-10)
amod(regulators-12, known-11)
pobj(of-10, regulators-12)
cc(regulators-12, and-13)
poss(sequences-16, their-14)
nn(sequences-16, target-15)
conj(regulators-12, sequences-16)
auxpass(limited-18, are-17)
root(ROOT-0, limited-18)
punct(limited-18, ,-19)
cc(limited-18, and-20)
det(development-22, the-21)
nsubj(is-26, development-22)
prep(development-22, of-23)
det(catalog-25, this-24)
pobj(of-23, catalog-25)
conj(limited-18, is-26)
prep(is-26, in-27)
det(stage-30, the-28)
amod(stage-30, early-29)
pobj(in-27, stage-30)
dep(stage-30, CITATION-31)
punct(limited-18, .-32)

mark(invaluable-6, Although-1)
nn(libraries-3, cDNA-2)
nsubj(invaluable-6, libraries-3)
aux(invaluable-6, have-4)
cop(invaluable-6, been-5)
advcl(difficult-18, invaluable-6)
prep(invaluable-6, for-7)
pcomp(for-7, discovering-8)
amod(features-10, general-9)
dobj(discovering-8, features-10)
prep(features-10, of-11)
advmod(spliced-13, alternatively-12)
amod(exons-14, spliced-13)
pobj(of-11, exons-14)
punct(difficult-18, ,-15)
nsubj(difficult-18, it-16)
cop(difficult-18, is-17)
root(ROOT-0, difficult-18)
aux(connect-20, to-19)
xcomp(difficult-18, connect-20)
amod(sequences-23, specific-21)
amod(sequences-23, regulatory-22)
dobj(connect-20, sequences-23)
prep(connect-20, to-24)
amod(conditions-27, specific-25)
amod(conditions-27, biological-26)
pobj(to-24, conditions-27)
prep(connect-20, with-28)
pobj(with-28, confidence-29)
amod(confidence-29, due-30)
prep(due-30, to-31)
amod(information-36, variable-32)
cc(variable-32, and-33)
advmod(missing-35, sometimes-34)
conj(variable-32, missing-35)
pobj(to-31, information-36)
prep(information-36, about-37)
det(materials-40, the-38)
nn(materials-40, source-39)
pobj(about-37, materials-40)
cc(materials-40, and-41)
conj(materials-40, methods-42)
prep(materials-40, of-43)
nn(construction-46, cDNA-44)
nn(construction-46, library-45)
pobj(of-43, construction-46)
punct(difficult-18, .-47)

det(number-4, The-1)
advmod(low-3, relatively-2)
amod(number-4, low-3)
nsubj(makes-13, number-4)
prep(number-4, of-5)
pobj(of-5, transcripts-6)
amod(transcripts-6, present-7)
prep(number-4, from-8)
det(gene-11, any-9)
num(gene-11, one-10)
pobj(from-8, gene-11)
advmod(makes-13, also-12)
root(ROOT-0, makes-13)
nsubj(estimate-17, it-14)
dep(estimate-17, difficult-15)
aux(estimate-17, to-16)
xcomp(makes-13, estimate-17)
dobj(estimate-17, differences-18)
prep(differences-18, in-19)
nn(levels-21, expression-20)
pobj(in-19, levels-21)
partmod(differences-18, using-22)
nn(representation-24, library-23)
dobj(using-22, representation-24)
prep(using-22, as-25)
det(measure-27, a-26)
pobj(as-25, measure-27)
punct(makes-13, .-28)

advmod(available-5, Currently-1)
punct(available-5, ,-2)
det(methods-4, the-3)
nsubj(available-5, methods-4)
dep(limited-18, available-5)
prep(available-5, for-6)
pcomp(for-6, expanding-7)
det(list-9, the-8)
dobj(expanding-7, list-9)
prep(list-9, of-10)
amod(regulators-12, known-11)
pobj(of-10, regulators-12)
cc(regulators-12, and-13)
poss(sequences-16, their-14)
nn(sequences-16, target-15)
conj(regulators-12, sequences-16)
auxpass(limited-18, are-17)
root(ROOT-0, limited-18)
punct(limited-18, ,-19)
cc(limited-18, and-20)
det(development-22, the-21)
nsubj(is-26, development-22)
prep(development-22, of-23)
det(catalog-25, this-24)
pobj(of-23, catalog-25)
conj(limited-18, is-26)
prep(is-26, in-27)
det(stage-30, the-28)
amod(stage-30, early-29)
pobj(in-27, stage-30)
dep(stage-30, CITATION-31)
punct(limited-18, .-32)

mark(invaluable-6, Although-1)
nn(libraries-3, cDNA-2)
nsubj(invaluable-6, libraries-3)
aux(invaluable-6, have-4)
cop(invaluable-6, been-5)
advcl(difficult-18, invaluable-6)
prep(invaluable-6, for-7)
pcomp(for-7, discovering-8)
amod(features-10, general-9)
dobj(discovering-8, features-10)
prep(features-10, of-11)
advmod(spliced-13, alternatively-12)
amod(exons-14, spliced-13)
pobj(of-11, exons-14)
punct(difficult-18, ,-15)
nsubj(difficult-18, it-16)
cop(difficult-18, is-17)
root(ROOT-0, difficult-18)
aux(connect-20, to-19)
xcomp(difficult-18, connect-20)
amod(sequences-23, specific-21)
amod(sequences-23, regulatory-22)
dobj(connect-20, sequences-23)
prep(connect-20, to-24)
amod(conditions-27, specific-25)
amod(conditions-27, biological-26)
pobj(to-24, conditions-27)
prep(connect-20, with-28)
pobj(with-28, confidence-29)
amod(confidence-29, due-30)
prep(due-30, to-31)
amod(information-36, variable-32)
cc(variable-32, and-33)
advmod(missing-35, sometimes-34)
conj(variable-32, missing-35)
pobj(to-31, information-36)
prep(information-36, about-37)
det(materials-40, the-38)
nn(materials-40, source-39)
pobj(about-37, materials-40)
cc(materials-40, and-41)
conj(materials-40, methods-42)
prep(materials-40, of-43)
nn(construction-46, cDNA-44)
nn(construction-46, library-45)
pobj(of-43, construction-46)
punct(difficult-18, .-47)

det(number-4, The-1)
advmod(low-3, relatively-2)
amod(number-4, low-3)
nsubj(makes-13, number-4)
prep(number-4, of-5)
pobj(of-5, transcripts-6)
amod(transcripts-6, present-7)
prep(number-4, from-8)
det(gene-11, any-9)
num(gene-11, one-10)
pobj(from-8, gene-11)
advmod(makes-13, also-12)
root(ROOT-0, makes-13)
nsubj(estimate-17, it-14)
dep(estimate-17, difficult-15)
aux(estimate-17, to-16)
xcomp(makes-13, estimate-17)
dobj(estimate-17, differences-18)
prep(differences-18, in-19)
nn(levels-21, expression-20)
pobj(in-19, levels-21)
partmod(differences-18, using-22)
nn(representation-24, library-23)
dobj(using-22, representation-24)
prep(using-22, as-25)
det(measure-27, a-26)
pobj(as-25, measure-27)
punct(makes-13, .-28)

advmod(needed-7, Thus-1)
punct(needed-7, ,-2)
amod(methods-5, more-3)
amod(methods-5, direct-4)
nsubjpass(needed-7, methods-5)
auxpass(needed-7, are-6)
root(ROOT-0, needed-7)
aux(associate-9, to-8)
xcomp(needed-7, associate-9)
amod(events-12, alternative-10)
nn(events-12, splicing-11)
dobj(associate-9, events-12)
prep(associate-9, with-13)
amod(conditions-16, underlying-14)
amod(conditions-16, biological-15)
pobj(with-13, conditions-16)
punct(needed-7, .-17)

root(ROOT-0, Analysis-1)
prep(Analysis-1, of-2)
amod(changes-4, experimental-3)
pobj(of-2, changes-4)
prep(changes-4, in-5)
pobj(in-5, splicing-6)
prep(changes-4, for-7)
amod(genes-9, many-8)
pobj(for-7, genes-9)
nsubj(reveal-12, simultaneously-10)
aux(reveal-12, should-11)
rcmod(Analysis-1, reveal-12)
amod(conditions-14, biological-13)
dobj(reveal-12, conditions-14)
amod(conditions-14, necessary-15)
prep(necessary-15, for-16)
amod(regulation-19, proper-17)
nn(regulation-19, splicing-18)
pobj(for-16, regulation-19)
prep(regulation-19, in-20)
det(way-22, a-21)
pobj(in-20, way-22)
prep(way-22, that-23)
dep(that-23, analysis-24)
prep(analysis-24, of-25)
nn(libraries-27, cDNA-26)
pobj(of-25, libraries-27)
dep(analysis-24, can-28)
dep(can-28, not-29)
punct(not-29, ,-30)
cc(not-29, and-31)
conj(not-29, with-32)
pobj(with-32, breadth-33)
nsubjpass(achieved-38, that-34)
aux(achieved-38, can-35)
neg(achieved-38, not-36)
auxpass(achieved-38, be-37)
rcmod(breadth-33, achieved-38)
prep(achieved-38, by-39)
pobj(by-39, analysis-40)
prep(analysis-40, of-41)
det(reporter-43, a-42)
pobj(of-41, reporter-43)
dep(reporter-43, construct-44)
cc(construct-44, or-45)
det(genes-50, a-46)
amod(genes-50, few-47)
amod(genes-50, endogenous-48)
nn(genes-50, target-49)
conj(construct-44, genes-50)
punct(Analysis-1, .-51)

amod(trials-3, Most-1)
amod(trials-3, such-2)
nsubj(yielded-5, trials-3)
aux(yielded-5, have-4)
root(ROOT-0, yielded-5)
amod(rates-8, higher-6)
nn(rates-8, failure-7)
dobj(yielded-5, rates-8)
prep(rates-8, in-9)
det(group-12, the-10)
nn(group-12, treatment-11)
pobj(in-9, group-12)
prep(rates-8, than-13)
pcomp(than-13, in-14)
pobj(in-14, controls-15)
partmod(controls-15, receiving-16)
amod(therapy-18, conventional-17)
dobj(receiving-16, therapy-18)
punct(yielded-5, .-19)

nsubj(occurs-3, Failure-1)
advmod(occurs-3, typically-2)
root(ROOT-0, occurs-3)
prep(occurs-3, during-4)
nn(therapy-6, maintenance-5)
pobj(during-4, therapy-6)
punct(occurs-3, ,-7)
cc(occurs-3, and-8)
aux(attributed-11, has-9)
auxpass(attributed-11, been-10)
conj(occurs-3, attributed-11)
prep(attributed-11, to-12)
amod(CITATION-16, poor-13)
nn(CITATION-16, regimen-14)
nn(CITATION-16, adherence-15)
pobj(to-12, CITATION-16)
cc(CITATION-16, and-17)
conj(CITATION-16, recrudescence-18)
prep(recrudescence-18, of-19)
pobj(of-19, resistance-20)
dep(resistance-20, mutations-21)
amod(mutations-21, present-22)
prep(mutations-21, before-23)
pobj(before-23, institution-24)
prep(institution-24, of-25)
nn(CITATION-28, induction-26)
nn(CITATION-28, therapy-27)
pobj(of-25, CITATION-28)
punct(occurs-3, .-29)

num(weakness-2, One-1)
nsubj(been-7, weakness-2)
prep(weakness-2, of-3)
amod(studies-5, existing-4)
pobj(of-3, studies-5)
aux(been-7, has-6)
root(ROOT-0, been-7)
mark(consisted-11, that-8)
nn(therapy-10, induction-9)
nsubj(consisted-11, therapy-10)
ccomp(been-7, consisted-11)
prep(consisted-11, of-12)
amod(regimens-17, standard-13)
amod(regimens-17, three-drug-14)
amod(regimens-17, antiretroviral-15)
nn(regimens-17, therapy-16)
pobj(of-12, regimens-17)
prep(regimens-17, in-18)
amod(use-21, common-19)
amod(use-21, clinical-20)
pobj(in-18, use-21)
prep(consisted-11, at-22)
det(time-24, the-23)
pobj(at-22, time-24)
prep(time-24, of-25)
det(study-27, the-26)
pobj(of-25, study-27)
punct(consisted-11, ,-28)
prep(consisted-11, under-29)
pobj(under-29, conditions-30)
advmod(recognized-32, now-31)
partmod(conditions-30, recognized-32)
aux(permit-34, to-33)
xcomp(recognized-32, permit-34)
nn(CITATION-38, subclinical-35)
nn(CITATION-38, viral-36)
nn(CITATION-38, replication-37)
dobj(permit-34, CITATION-38)
punct(CITATION-38, ,-39)
appos(CITATION-38, CITATION-40)
punct(been-7, .-41)

advmod(lasted-12, Moreover-1)
punct(lasted-12, ,-2)
prep(lasted-12, in-3)
det(studies-6, these-4)
amod(studies-6, early-5)
pobj(in-3, studies-6)
punct(lasted-12, ,-7)
det(phase-10, the-8)
nn(phase-10, induction-9)
nsubj(lasted-12, phase-10)
advmod(lasted-12, only-11)
root(ROOT-0, lasted-12)
prep(lasted-12, between-13)
number(6-16, 3-14)
dep(6-16, to-15)
num(mo-17, 6-16)
pobj(between-13, mo-17)
punct(mo-17, ,-18)
nsubj(insufficient-22, which-19)
aux(insufficient-22, may-20)
cop(insufficient-22, be-21)
rcmod(mo-17, insufficient-22)
punct(lasted-12, .-23)

advmod(criticized-6, however-1)
punct(criticized-6, ,-2)
det(tests-4, those-3)
nsubjpass(criticized-6, tests-4)
auxpass(criticized-6, were-5)
root(ROOT-0, criticized-6)
mark(had-9, because-7)
nsubj(had-9, they-8)
advcl(criticized-6, had-9)
dobj(had-9, characteristics-10)
nsubj(trigger-14, that-11)
aux(trigger-14, might-12)
punct(trigger-14, ``-13)
rcmod(characteristics-10, trigger-14)
punct(trigger-14, ''-15)
dobj(trigger-14, use-16)
prep(use-16, of-17)
amod(heuristics-19, other-18)
pobj(of-17, heuristics-19)
punct(criticized-6, .-20)

